1709026680000,56542.79000000,56615.94000000,56542.79000000,56587.49000000,50.92133000,1709026739999,2881657.75483000,2391,21.39189000,1210451.17526560,0
1709026740000,56587.48000000,56632.27000000,56586.05000000,56611.92000000,58.87532000,1709026799999,3332877.73629710,5891,32.36668000,1832171.23688550,0
1709026800000,56611.93000000,56648.00000000,56598.75000000,56616.99000000,58.88931000,1709026859999,3335225.99530450,3746,19.18502000,1086452.59643620,0
1709026860000,56617.00000000,56695.35000000,56610.14000000,56691.00000000,46.72603000,1709026919999,2647800.79953160,1923,26.21492000,1485473.84040600,0
1709026920000,56691.00000000,56760.72000000,56675.00000000,56690.00000000,125.96289000,1709026979999,7144810.97030530,6910,74.49026000,4225065.28119340,0
1709026980000,56690.01000000,56710.00000000,56661.10000000,56693.97000000,53.73864000,1709027039999,3046707.49723460,2027,26.30627000,1491315.88102910,0
1709027040000,56693.97000000,56709.99000000,56678.00000000,56678.01000000,42.23094000,1709027099999,2394325.53437670,1689,20.79596000,1178983.63606390,0
1709027100000,56678.00000000,56687.32000000,56616.40000000,56616.41000000,42.80979000,1709027159999,2425908.92426650,1884,17.81193000,1009365.84135340,0
1709027160000,56616.41000000,56626.00000000,56570.00000000,56570.00000000,33.19453000,1709027219999,1878899.76159930,1346,18.83199000,1065960.47982660,0
1709027220000,56570.01000000,56613.29000000,56554.12000000,56595.11000000,40.54967000,1709027279999,2294469.26051630,5585,16.86473000,954219.69612780,0
1709027280000,56595.12000000,56625.19000000,56591.97000000,56594.85000000,35.29610000,1709027339999,1998098.78556830,2195,23.94199000,1355296.45099420,0
1709027340000,56594.86000000,56594.86000000,56554.38000000,56556.70000000,30.62341000,1709027399999,1732348.97666480,1060,13.31636000,753350.40578960,0
1709027400000,56556.71000000,56556.71000000,56543.07000000,56556.69000000,19.78308000,1709027459999,1118813.34374330,1187,10.43690000,590242.84616540,0
1709027460000,56556.70000000,56626.57000000,56556.69000000,56604.60000000,37.74121000,1709027519999,2136001.63141490,1507,26.27780000,1486994.26132120,0
1709027520000,56604.61000000,56691.10000000,56604.60000000,56658.00000000,37.74668000,1709027579999,2138494.20518930,1474,21.27749000,1205258.82441190,0
1709027580000,56657.99000000,56658.00000000,56625.19000000,56639.35000000,20.21452000,1709027639999,1144971.57728580,1311,9.05345000,512781.79535950,0
1709027640000,56639.36000000,56650.00000000,56591.10000000,56591.11000000,35.33520000,1709027699999,2000885.00343540,1196,10.83883000,613700.45989250,0
1709027700000,56591.11000000,56631.80000000,56575.00000000,56617.38000000,44.49913000,1709027759999,2518617.58878980,1642,29.71434000,1681759.11828850,0
1709027760000,56617.37000000,56646.00000000,56589.28000000,56645.99000000,19.83217000,1709027819999,1122888.30471570,1620,7.55650000,427865.47315340,0
1709027820000,56646.00000000,56646.00000000,56578.00000000,56590.00000000,51.09971000,1709027879999,2892572.69233030,1873,22.98756000,1301091.14366910,0
1709027880000,56590.01000000,56625.19000000,56561.51000000,56615.99000000,32.69229000,1709027939999,1850099.18914730,1857,19.01552000,1076106.60381020,0
1709027940000,56615.99000000,56626.99000000,56602.00000000,56615.94000000,25.60092000,1709027999999,1449471.69358390,1113,9.54960000,540654.17419670,0
1709028000000,56615.94000000,56615.95000000,56591.10000000,56591.11000000,27.70531000,1709028059999,1568198.20854710,1473,20.83596000,1179364.08836840,0
1709028060000,56591.10000000,56591.11000000,56556.70000000,56556.71000000,13.70477000,1709028119999,775364.70173810,1008,6.41132000,362731.17790160,0
1709028120000,56556.71000000,56575.46000000,56484.06000000,56487.04000000,46.11075000,1709028179999,2606688.23540640,2996,13.10318000,740812.49764330,0
1709028180000,56487.03000000,56500.01000000,56469.33000000,56469.33000000,23.21400000,1709028239999,1311327.60607970,1402,11.37690000,642666.86576860,0
1709028240000,56469.33000000,56570.22000000,56465.41000000,56570.22000000,62.35058000,1709028299999,3523206.71549450,4168,43.28419000,2445601.15117220,0
1709028300000,56570.22000000,56570.22000000,56528.84000000,56556.68000000,25.00091000,1709028359999,1413893.69835710,1130,12.91887000,730576.63784320,0
1709028360000,56556.69000000,56596.81000000,56543.94000000,56550.95000000,35.20023000,1709028419999,1991419.83358140,1408,12.65307000,715885.76571230,0
1709028420000,56550.95000000,56550.95000000,56500.01000000,56548.00000000,29.60108000,1709028479999,1673193.75432530,1117,10.35930000,585513.24355520,0
1709028480000,56547.99000000,56548.00000000,56519.80000000,56527.08000000,24.35877000,1709028539999,1377144.93476620,1159,8.83435000,499428.06957260,0
1709028540000,56527.09000000,56578.04000000,56527.08000000,56566.72000000,11.48460000,1709028599999,649551.73213180,1050,6.30247000,356454.76260440,0
1709028600000,56566.72000000,56589.78000000,56561.10000000,56564.64000000,25.41292000,1709028659999,1437784.70389480,2119,11.94710000,675846.48797530,0
1709028660000,56564.64000000,56564.64000000,56544.01000000,56546.11000000,14.07453000,1709028719999,796015.91110670,1484,7.79369000,440783.37704990,0
1709028720000,56546.11000000,56571.10000000,56521.20000000,56571.09000000,44.87638000,1709028779999,2537711.60584100,1275,31.07230000,1757109.29234910,0
1709028780000,56571.09000000,56600.00000000,56571.01000000,56595.76000000,22.34352000,1709028839999,1264271.34997640,1004,11.36966000,643267.90921830,0
1709028840000,56595.76000000,56612.60000000,56595.76000000,56612.60000000,14.61575000,1709028899999,827356.52179430,742,10.20631000,577743.62248790,0
1709028900000,56612.59000000,56662.36000000,56602.49000000,56656.02000000,34.73822000,1709028959999,1967554.20008590,1546,17.44805000,988192.52928280,0
1709028960000,56656.02000000,56671.10000000,56627.11000000,56629.33000000,22.07825000,1709029019999,1250747.54781530,2053,10.20647000,578183.70122470,0
1709029020000,56629.33000000,56641.10000000,56594.23000000,56608.22000000,28.51484000,1709029079999,1614218.38244130,953,19.55644000,1106993.72889720,0
1709029080000,56608.21000000,56663.66000000,56608.21000000,56663.65000000,28.85641000,1709029139999,1634120.02200780,1437,22.65876000,1283108.20526460,0
1709029140000,56663.66000000,56685.88000000,56662.34000000,56680.00000000,22.39230000,1709029199999,1269045.47252430,1026,15.01698000,851038.85065250,0
1709029200000,56680.00000000,56731.10000000,56679.99000000,56716.00000000,39.92777000,1709029259999,2264258.31979320,2475,29.11310000,1650904.13300680,0
1709029260000,56716.00000000,56734.83000000,56701.11000000,56721.10000000,33.43220000,1709029319999,1896454.38621690,1140,15.37173000,871932.15886790,0
1709029320000,56721.10000000,56731.10000000,56692.72000000,56696.08000000,41.63028000,1709029379999,2360603.41014690,1505,22.85497000,1295922.98940630,0
1709029380000,56696.08000000,56737.14000000,56696.08000000,56723.00000000,24.30821000,1709029439999,1378808.36157150,1001,14.31900000,812125.13394150,0
1709029440000,56723.00000000,56818.02000000,56723.00000000,56740.00000000,90.06125000,1709029499999,5113534.08343020,3815,62.52932000,3550143.53093790,0
1709029500000,56740.01000000,56798.68000000,56702.80000000,56702.80000000,42.69150000,1709029559999,2423301.79655800,1785,20.83270000,1182459.80427410,0
1709029560000,56702.81000000,56719.05000000,56671.11000000,56681.69000000,32.93695000,1709029619999,1867240.55386170,1755,16.51022000,935897.04473650,0
1709029620000,56681.70000000,56681.70000000,56646.36000000,56646.36000000,19.50902000,1709029679999,1105388.99613240,1070,10.15808000,575555.80141450,0
1709029680000,56646.37000000,56660.00000000,56637.46000000,56655.80000000,24.11019000,1709029739999,1365849.20119740,947,6.95479000,393984.79822100,0
1709029740000,56655.81000000,56669.32000000,56641.10000000,56648.37000000,58.01441000,1709029799999,3286653.20778770,1568,24.46395000,1385785.26031530,0
1709029800000,56648.36000000,56656.00000000,56629.99000000,56654.58000000,13.03401000,1709029859999,738286.87179570,1075,5.05712000,286462.28117940,0
1709029860000,56654.58000000,56697.81000000,56654.58000000,56671.09000000,54.54303000,1709029919999,3091260.29701220,1430,24.04090000,1362466.07165380,0
1709029920000,56671.09000000,56714.61000000,56562.24000000,56574.46000000,84.83976000,1709029979999,4805971.98426180,2426,33.97481000,1924618.34519280,0
1709029980000,56574.47000000,56611.33000000,56563.39000000,56563.39000000,29.17123000,1709030039999,1650788.02706030,1026,15.97101000,903814.96540120,0
1709030040000,56563.39000000,56581.10000000,56533.25000000,56553.13000000,44.51612000,1709030099999,2517728.96097550,1698,11.99193000,678181.20975730,0
1709030100000,56553.12000000,56556.00000000,56520.00000000,56520.01000000,31.92255000,1709030159999,1805059.16759570,1474,14.80279000,836992.44784080,0
1709030160000,56520.01000000,56520.01000000,56451.65000000,56454.02000000,53.10906000,1709030219999,3000071.72698900,2126,11.95146000,675116.81439720,0
1709030220000,56454.02000000,56463.80000000,56411.10000000,56463.80000000,53.98332000,1709030279999,3047313.62161870,2963,18.40205000,1038703.43550160,0
1709030280000,56463.80000000,56463.80000000,56366.06000000,56366.07000000,75.22626000,1709030339999,4243939.50978120,2711,20.07539000,1132365.96226860,0
1709030340000,56366.07000000,56475.99000000,56366.06000000,56475.98000000,71.12948000,1709030399999,4013136.97993880,1874,57.88468000,3265725.72021380,0
1709030400000,56475.97000000,56508.32000000,56475.00000000,56495.88000000,21.71208000,1709030459999,1226573.39529790,1125,12.94360000,731199.52672150,0
1709030460000,56495.87000000,56524.84000000,56474.73000000,56524.84000000,56.87861000,1709030519999,3213800.71551460,1369,31.40054000,1774136.25860580,0
1709030520000,56524.83000000,56560.00000000,56524.83000000,56553.39000000,24.61558000,1709030579999,1391916.29546980,1227,15.32111000,866312.78273050,0
1709030580000,56553.40000000,56553.40000000,56535.14000000,56548.93000000,23.14319000,1709030639999,1308543.39532590,1020,14.07501000,795784.59288310,0
1709030640000,56548.93000000,56548.94000000,56502.39000000,56530.98000000,19.78052000,1709030699999,1118111.85384100,1177,10.97402000,620309.76767050,0
1709030700000,56530.99000000,56584.83000000,56530.98000000,56584.82000000,26.17194000,1709030759999,1480170.75631430,1274,15.68185000,886886.83789390,0
1709030760000,56584.83000000,56595.35000000,56578.99000000,56578.99000000,16.74550000,1709030819999,947620.34653790,958,8.17127000,462405.36424600,0
1709030820000,56579.00000000,56579.00000000,56534.13000000,56544.00000000,22.84053000,1709030879999,1291835.94686680,951,9.78473000,553287.36862460,0
1709030880000,56543.99000000,56584.83000000,56521.10000000,56575.92000000,30.93520000,1709030939999,1749506.80946330,1255,22.21873000,1256550.06315960,0
1709030940000,56575.92000000,56597.92000000,56575.92000000,56597.91000000,22.24690000,1709030999999,1258778.61224760,815,18.96161000,1072869.63779540,0
1709031000000,56597.91000000,56622.20000000,56539.20000000,56559.44000000,60.34853000,1709031059999,3414543.91577110,2044,19.26253000,1089948.11335910,0
1709031060000,56559.45000000,56606.20000000,56545.94000000,56591.10000000,48.36891000,1709031119999,2736770.62419120,1300,29.92051000,1692830.25483180,0
1709031120000,56591.10000000,56600.00000000,56564.00000000,56566.22000000,45.23249000,1709031179999,2559240.64367740,3414,28.76155000,1627294.60115490,0
